"CIT","DIS","DOU","EDI","EHHS","HH050","HHS","HID","HS010","HS020","HS030","HS040","HS050","HS060","HS070","HS080","HS100","HS110","HY010","HY020","HY025","HY030","HY040","HY050","HY060","HY070","HY080","HY090","HY100","HY110","HY120","HY130","HY140","INC","PROV","REG","SOC","UEP","stratum","N_h","n_h","inclusion_prob","design_weight","S"
779,"20","1",15840.3060810875,1,1,1,"1735167","1","1","1","1","1","1","1","3","1","1",24452.3042685641,15840.3060810875,1,3720.28430568558,0,0,0,0,10032.3881968856,0,461.561827360289,0,423.72000881765,0,7726.71635129872,10699.631765993,"5","2",152.631765992981,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
436,"13","1",26960.6520755392,2,1,3,"2342504","1","1","1","1","1","1","1","1","1","1",96664.9749603596,53921.3041510784,1,5447.35248846245,0,1226.58427139256,130.783148090933,0,9991.07626928017,26098.9107779007,0,0,1030.23649719294,0,41713.4343120882,53770.2680052328,"4","2",11589.2660425229,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
509,"14","1",22607.6117499228,1.5,1,2,"2498783","1","1","1","1","1","2","1","1","1","1",35804.9248156944,33911.4176248842,1,11938.899950217,0,0,0,0,10058.0534990877,0,0,0,1827.95822404434,0,65.5489667658135,13807.9713663897,"4","2",10133.9713663897,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
676,"18","1",20436.7421745545,1.5,1,2,"1938661","1","1","1","1","1","1","1","1","1","1",32932.5135431978,30655.1132618318,1,0,0,2870.14181778867,0,0,9924.03748398647,768.950333096697,0,0,1382.0799978804,0,895.320283485593,19369.3839083259,"5","2",114.383908325932,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
478,"14","1",31528.2009813956,3,1,5,"771786","1","1","1","1","1","1","1","1","1","1",118208.490251101,94584.6029441868,1,0,0,2876.42559490482,0,0,9887.45062248781,253.743695474989,5341.65752951808,0,0,557.520488873124,17724.7092885228,105190.870338233,"4","2",4831.87033823315,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
468,"13","1",202.084074510878,1,2,1,"2853062","2","2","2","2","1","2","1","1","2","3",202.084074510878,202.084074510878,1,0,0,0,0,0,0,202.084074510878,0,0,0,0,0,0,"4","2",0,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
651,"17","1",16972.6790554508,1.8,1,3,"1269081","1","1","1","1","1","1","1","1","1","1",50320.2922434032,30550.8222998114,1,0,0,0,0,4637.54604619937,9849.96810657904,356.74157296174,16243.2107792004,0,966.094293305301,0,2560.16487108608,35476.0365176631,"5","2",183.036517663049,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
462,"13","1",3823.3547481955,1.3,1,2,"1213076","1","1","1","1","1","1","1","1","1","1",7312.38424276694,4970.36117265416,1,0,0,0,3528.38478017729,0,0,749.9298883008,0,0,1030.47359752545,0,1311.54947258733,3034.06957428885,"4","2",134.069574288852,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
460,"13","1",15088.3359380062,1,1,1,"757145","1","1","1","1","2","2","1","1","1","1",51692.4639521173,15088.3359380062,1,3860.88560485752,0,0,0,0,9801.28420656547,0,9136.22542950522,0,566.212653045785,0,26901.6899315601,38030.2941406943,"4","2",44.2941406942718,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
735,"19","1",821.673179975146,1.6,1,3,"909920","1","1","1","2","2","2","1","1","1","2",1314.67708796023,1314.67708796023,1,0,0,1314.67708796023,0,0,0,0,0,0,0,0,0,0,"5","2",0,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
509,"14","1",16736.5988737842,2.1,1,4,"2497785","1","1","1","1","1","1","1","1","1","1",37954.5620197872,35146.8576349469,1,2136.19017108502,0,3721.19105325774,2983.51061568569,0,10106.2922791578,2.4211704832036,2633.35473500272,0,0,57.8768319233926,116.472817914225,19004.9567301178,"4","2",269.956730117798,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
767,"20","1",34431.5378077236,2.5,1,4,"1713801","1","1","1","1","1","1","1","1","1","1",100050.195625706,86078.844519309,1,2517.66239160363,0,1259.57128842443,4210.10243307347,0,10047.1606710926,285.27947839871,0,0,746.387646739259,471.221660673565,12753.7417989839,81730.4193631129,"5","2",11783.4193631129,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
644,"17","1",7046.18117464481,2,1,3,"3722671","1","1","1","2","1","2","1","1","1","2",24355.5006773651,14092.3623492896,1,0,0,4168.44235277717,0,0,9902.13243840262,53.4853067931021,586.445343713704,0,677.789411208765,0,8998.90357315303,10231.4405793922,"5","2",5613.44057939223,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
473,"14","1",56518.1667316948,1.5,1,2,"1209715","1","1","1","1","1","1","1","1","1","1",87174.2086369184,84777.2500975421,1,8246.61723910691,0,0,0,0,10092.8350587375,7.38713120227214,0,0,0,0,2396.95853937621,68827.3692078716,"4","2",174.96501879503,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
428,"13","1",49256.3246002467,1.3,1,2,"3157110","1","1","1","1","1","1","1","1","1","1",67418.1104494656,64033.2219803208,1,0,0,0,192.707025781225,0,9871.97156697512,0,0,0,1109.77539376877,0,2275.11307537612,57353.4318567093,"4","2",50.4318567093043,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
516,"14","1",15948.3854439551,1.3,1,2,"1368123","2","2","2","1","1","1","1","1","1","2",22714.3799185285,20732.9010771416,1,0,0,0,0,0,10004.9460906535,1729.57893013924,0,0,709.539227007343,0,1271.93961437955,10979.8548977357,"4","2",126.854897735682,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
778,"20","1",10802.3214704308,1,1,1,"2866726","1","1","1","1","1","1","1","1","1","1",13255.4865368597,10802.3214704308,1,7305.56494539743,0,0,159.244590486791,0,0,0,2238.53391352275,0,214.631152906183,0,0,5790.67700097548,"5","2",51.6770009754784,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
620,"17","1",29278.5329027212,1,1,1,"3582848","1","1","1","1","1","1","1","1","1","1",30421.7520449682,29278.5329027212,1,0,0,0,0,0,9866.53486425057,0,0,0,997.762786548873,0,145.456355698109,20555.2171807176,"5","2",149.217180717587,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
634,"17","1",22244.7586354053,3.5,1,6,"1386999","1","1","1","1","1","1","1","1","1","1",87040.4125336135,77856.6552239187,1,1036.91756772135,0,5543.08148744855,1102.9059943367,0,10174.8468625359,405.757546950006,0,0,1739.13770241435,374.604047180188,7070.01556010025,68776.9030746209,"5","2",34358.9030746209,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
658,"18","1",76123.5479685871,2,1,3,"869882","1","1","1","1","1","1","1","1","1","1",169403.980755308,152247.095937174,1,4200.48459634757,0,4230.63938463771,10238.5979963499,0,10072.5792384706,0,0,0,224.726264917941,0,16932.158553216,140661.679539502,"5","2",451.33924432063,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
428,"13","1",67848.5034748556,2.3,1,4,"3158795","1","1","1","1","1","1","1","1","1","1",169079.911943615,156051.557992168,1,0,0,1904.1148934104,0,5487.15650243615,10068.9537357539,122.060959425999,8043.70936835981,0,21.4958715326479,0,4963.14871155433,151497.625852588,"4","2",459.013853907455,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
777,"20","1",9281.97117222201,1.5,1,2,"2439585","1","1","1","1","1","1","1","1","1","1",16913.4208185823,13922.956758333,1,6467.95188614447,0,0,0,0,0,1263.29339507497,0,0,0,2990.46406024933,0,9182.1755373629,"5","2",155.175537362904,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
645,"17","1",164.305941374185,1,1,1,"1612855","1","1","1","2","1","2","1","3","1","2",164.305941374185,164.305941374185,1,0,0,0,0,0,0,164.305941374185,0,0,0,0,0,0,"5","2",0,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
473,"14","1",32812.4064294411,2.5,1,4,"1209750","2","2","2","1","1","1","1","1","1","1",93943.5012357399,82031.0160736027,1,5169.73421238154,0,0,0,0,10137.7742495388,10.5443595879641,0,0,0,0,11912.4851621371,78625.4484142316,"4","2",18670.2148471147,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
421,"12","1",5188.71660974023,1.5,2,2,"1143950","1","1","1","2","1","2","1","1","2","2",21505.8258310134,7783.07491461035,1,0,0,0,0,0,9872.81460389495,0,7600.26116066271,0,1074.96602429334,0,5047.52373144704,11633.0112271185,"4","2",188.011227118489,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
773,"20","1",33249.080356103,2.8,1,5,"1633698","1","1","1","1","1","1","1","1","1","1",119135.431313769,93097.4249970884,1,0,0,2139.88742510523,64.4749062974378,0,9822.444166895,281.467098229891,6472.73921335827,0,1375.10192781848,1647.02829116583,16543.1368843378,106827.157717241,"5","2",2131.12886874105,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
754,"20","1",24571.027554979,1.5,1,2,"814409","1","1","1","1","1","1","1","1","1","1",50908.0131503827,36856.5413324685,1,3782.73883722852,0,0,0,0,9966.47033505142,485.6485478641,0,0,0,0,14051.4718179142,36673.1554302386,"5","2",306.155430238629,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
728,"19","1",55947.258943935,1.8,1,3,"2028","1","1","1","1","1","1","1","1","1","1",123739.910746611,100705.066099083,1,1859.42930686037,0,1260.33827486555,0,0,10056.1826446094,0,2699.34180215686,0,812.240179109974,0,19523.2626662615,110563.960520276,"5","2",11049.3807664429,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
620,"17","1",31594.782850731,1.5,1,2,"3583656","1","1","1","1","1","1","1","1","1","1",79744.7917762074,47392.1742760966,1,8362.70202023037,0,0,0,0,10195.1868027449,0,0,0,3303.62970818605,0,29048.9877919248,61186.9029532322,"5","2",277.653109655287,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
535,"15","1",35426.1154802127,2.5,1,4,"1742973","1","1","1","1","1","1","1","1","1","1",118804.475928365,88565.2887005318,1,2082.76720655678,0,1245.80288356137,125.240475191996,0,9833.39003920555,36204.9451556527,3295.39849022809,0,1609.44444748073,148.987706414331,25185.3565837096,69312.3301681962,"4","2",11532.3301681962,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
380,"12","1",28570.8420692228,2.1,1,4,"1913322","2","2","2","1","1","1","1","1","1","1",85586.5548193539,59998.7683453678,1,7051.01889761304,0,2526.68022099994,4871.93822297292,0,9974.82423800975,0,6511.50533843371,0,0,739.752984945853,18336.5281506065,61162.0932397582,"4","2",9253.5874158501,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
650,"17","1",22277.8144485367,1.5,1,2,"688765","1","1","1","1","1","1","1","1","1","1",47690.223340457,33416.721672805,1,10896.2879923537,0,0,0,0,9867.61518809944,22684.0075490526,12605.7741461503,0,518.226994280631,0,1149.50052722107,4242.31261095135,"5","2",138.312610951345,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
613,"17","1",24619.797146833,2.1,1,4,"1235928","1","1","1","1","1","1","1","1","1","1",55851.1084380562,51701.5740083493,1,0,0,461.550622986299,9.95767327417619,3306.01102935178,10022.5120308809,0,0,0,56.9024387637666,0,4092.6319909431,42051.0770815631,"5","2",153.002794943629,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
509,"14","1",15570.6366677335,1.5,1,2,"2499190","1","1","1","1","1","1","1","1","1","1",25704.0763418628,23355.9550016002,1,8437.01061040104,0,0,0,0,10086.2260738388,0,0,0,0,0,2348.12134026251,7180.83965762296,"4","2",7180.83965762296,"1","2.1.1",131969,466,0.00353113231137616,283.195278969957,0
